-                   	data                	identity            	time                
0                   	100926              	1                   	2021-12-22 12:45:24.377000
1                   	112238              	2                   	2021-12-22 12:45:24.377000
2                   	117231              	3                   	2021-12-22 12:45:24.377000
3                   	100920              	4                   	2021-12-22 12:45:24.377000
4                   	100972              	5                   	2021-12-22 12:45:24.377000
5                   	100926              	6                   	2021-12-22 12:45:24.377000
6                   	106693              	7                   	2021-12-22 12:45:24.377000
7                   	101942              	8                   	2021-12-22 12:45:24.377000
8                   	100920              	9                   	2021-12-22 12:45:24.377000
9                   	105121              	10                  	2021-12-22 12:45:24.377000
10                  	113450              	11                  	2021-12-22 12:45:24.393000
11                  	124106              	12                  	2021-12-22 12:45:24.393000
12                  	100920              	13                  	2021-12-22 12:45:24.393000
13                  	106104              	14                  	2021-12-22 12:45:24.393000
14                  	100952              	15                  	2021-12-22 12:45:24.393000
15                  	100939              	16                  	2021-12-22 12:45:24.393000
16                  	105769              	17                  	2021-12-22 12:45:24.393000
17                  	100874              	18                  	2021-12-22 12:45:24.393000
18                  	119899              	19                  	2021-12-22 12:45:24.393000
19                  	100920              	20                  	2021-12-22 12:45:24.408000
20                  	100972              	21                  	2021-12-22 12:45:24.408000
21                  	100952              	22                  	2021-12-22 12:45:24.408000
22                  	115285              	23                  	2021-12-22 12:45:24.408000
23                  	105415              	24                  	2021-12-22 12:45:24.408000
24                  	104911              	25                  	2021-12-22 12:45:24.408000
25                  	100959              	26                  	2021-12-22 12:45:24.408000
26                  	109465              	27                  	2021-12-22 12:45:24.408000
27                  	100939              	28                  	2021-12-22 12:45:24.408000
28                  	100952              	29                  	2021-12-22 12:45:24.408000
29                  	100900              	30                  	2021-12-22 12:45:24.424000
30                  	104904              	31                  	2021-12-22 12:45:24.424000
31                  	122881              	32                  	2021-12-22 12:45:24.424000
32                  	100926              	33                  	2021-12-22 12:45:24.424000
33                  	100966              	34                  	2021-12-22 12:45:24.424000
34                  	100959              	35                  	2021-12-22 12:45:24.424000
35                  	100972              	36                  	2021-12-22 12:45:24.424000
36                  	100946              	37                  	2021-12-22 12:45:24.424000
37                  	124113              	38                  	2021-12-22 12:45:24.424000
38                  	106910              	39                  	2021-12-22 12:45:24.439000
39                  	109452              	40                  	2021-12-22 12:45:24.439000
40                  	109734              	41                  	2021-12-22 12:45:24.439000
41                  	100920              	42                  	2021-12-22 12:45:24.439000
